agent_id,time,agent_type,origin_1,destination_1,waiting_time_1,destination_2,waiting_time_2
9268,8:00:02,61222202,NU0091,ND0008,72,ND0012,72
5561,8:00:03,62228201,NF0177,ND0021,0,None,0
6705,8:00:03,81221201,NF0077,ND0013,0,None,0
3113,8:00:04,I2967021,ND0001,NU0253,0,None,0
1056,8:00:06,51221201,NU0190,ND0020,0,None,0
2122,8:00:06,81271211,NF0159,ND0013,0,None,0
8326,8:00:07,91221202,NU0253,ND0025,72,ND0005,72
7005,8:00:09,41741202,NU0190,ND0016,72,ND0012,72
9269,8:00:10,C29D1202,NU0091,ND0012,72,ND0014,72
8249,8:00:11,81221202,NU0253,ND0003,72,ND0009,72
8219,8:00:14,A1221202,NU0253,ND0024,72,ND0022,72
4324,8:00:15,92131201,NU0253,ND0022,0,None,0
7699,8:00:16,A1522202,NF0159,ND0001,72,ND0007,72
8231,8:00:18,92221202,NU0253,ND0015,72,ND0007,72
8399,8:00:18,61221202,NU0253,ND0008,72,ND0021,72
9583,8:00:18,42221202,NF0077,ND0015,72,ND0015,72
4650,8:00:19,92263021,NU0253,ND0025,0,None,0
8926,8:00:21,51221202,NF0177,ND0024,72,ND0015,72
9410,8:00:23,719B1012,NU0100,ND0012,72,ND0009,72
5447,8:00:24,B28B1011,NF0177,ND0019,0,None,0
6959,8:00:27,52221202,NU0190,ND0002,72,ND0018,72
7667,8:00:27,81221202,NF0159,ND0013,72,ND0012,72
7068,8:00:34,51221202,NU0190,ND0001,72,ND0022,72
8356,8:00:35,71221202,NU0253,ND0022,72,ND0003,72
1988,8:00:37,51222201,NF0159,ND0009,0,None,0
8299,8:00:41,52322202,NU0253,ND0018,72,ND0017,72
1357,8:00:42,82221201,NU0190,ND0025,0,None,0
2347,8:00:43,62621201,NF0159,ND0018,0,None,0
6117,8:00:47,61221201,NU0091,ND0011,0,None,0
5114,8:00:49,61231201,NF0177,ND0005,0,None,0
3248,8:00:50,71221201,NU0253,ND0005,0,None,0
6269,8:00:51,D1322201,NU0091,ND0026,0,None,0
8988,8:00:53,91221202,NF0177,ND0011,72,ND0015,72
3682,8:00:54,42221201,NU0253,ND0014,0,None,0
6923,8:00:54,72221202,NU0190,ND0015,72,ND0018,72
6220,8:01:02,721D1201,NU0091,ND0020,0,None,0
5976,8:01:03,41321201,NU0091,ND0006,0,None,0
7762,8:01:04,52228202,NF0159,ND0013,72,ND0009,72
8394,8:01:04,72371212,NU0253,ND0010,72,ND0010,72
8359,8:01:07,B1221202,NU0253,ND0014,72,ND0002,72
3839,8:01:10,61221201,NU0253,ND0017,0,None,0
8215,8:01:10,41122202,NU0253,ND0004,72,ND0011,72
2286,8:01:12,42741201,NF0159,ND0017,0,None,0
568,8:01:13,61221201,NU0190,ND0015,0,None,0
5760,8:01:13,61221201,NF0177,ND0025,0,None,0
9265,8:01:15,B2322202,NU0091,ND0013,72,ND0022,72
2793,8:01:18,A1221201,NF0159,ND0025,0,None,0
5415,8:01:20,C2422201,NF0177,ND0018,0,None,0
6994,8:01:21,A1221202,NU0190,ND0021,72,ND0004,72
3618,8:01:22,72321201,NU0253,ND0013,0,None,0
9414,8:01:23,71222202,NU0100,ND0001,72,ND0026,72
8224,8:01:26,71321202,NU0253,ND0024,72,ND0003,72
8925,8:01:26,61221202,NF0177,ND0001,72,ND0024,72
6159,8:01:27,72321201,NU0091,ND0015,0,None,0
1300,8:01:28,I2863021,ND0024,NU0190,0,None,0
8193,8:01:28,B2867022,NU0253,ND0008,72,ND0014,72
7747,8:01:29,71221202,NF0159,ND0015,72,ND0024,72
2276,8:01:30,81231201,NF0159,ND0017,0,None,0
5286,8:01:32,61228201,NF0177,ND0013,0,None,0
9576,8:01:32,42221202,NF0077,ND0008,72,ND0015,72
4923,8:01:37,91222201,NU0253,ND0027,0,None,0
341,8:01:41,61221201,NU0190,ND0010,0,None,0
2070,8:01:41,81221201,NF0159,ND0012,0,None,0
8945,8:01:42,C19B1012,NF0177,ND0003,72,ND0005,72
7083,8:01:47,61221202,NU0190,ND0010,72,ND0010,72
3207,8:01:48,82322201,NU0253,ND0003,0,None,0
9558,8:01:49,91221202,NF0077,ND0007,72,ND0026,72
9422,8:01:52,71221202,NU0100,ND0015,72,ND0004,72
3083,8:01:57,71221201,NU0253,ND0001,0,None,0
3490,8:01:57,A1221201,NU0253,ND0011,0,None,0
8964,8:01:57,72221202,NF0177,ND0018,72,ND0022,72
8247,8:02:00,91224202,NU0253,ND0021,72,ND0003,72
7064,8:02:02,81222202,NU0190,ND0014,72,ND0016,72
7112,8:02:02,92322202,NU0190,ND0012,72,ND0022,72
8287,8:02:03,91221202,NU0253,ND0022,72,ND0007,72
4453,8:02:04,C1222201,NU0253,ND0023,0,None,0
7647,8:02:07,51221202,NF0159,ND0020,72,ND0022,72
7027,8:02:08,51465022,NU0190,ND0002,72,ND0001,72
2707,8:02:09,51221201,NF0159,ND0024,0,None,0
789,8:02:10,52222201,NU0190,ND0018,0,None,0
8911,8:02:11,62221202,NF0177,ND0017,72,ND0021,72
5337,8:02:15,72436201,NF0177,ND0016,0,None,0
7053,8:02:15,41221202,NU0190,ND0009,72,ND0002,72
1570,8:02:16,52221201,NU0190,ND0027,0,None,0
3399,8:02:16,52261021,NU0253,ND0009,0,None,0
4016,8:02:17,A1221201,NU0253,ND0019,0,None,0
6279,8:02:18,C1961021,NU0100,ND0001,0,None,0
7714,8:02:18,A12F2102,NF0159,ND0012,72,ND0012,72
477,8:02:20,91222201,NU0190,ND0013,0,None,0
4003,8:02:24,91322201,NU0253,ND0019,0,None,0
8380,8:02:26,61221202,NU0253,ND0022,72,ND0002,72
3320,8:02:27,51321201,NU0253,ND0006,0,None,0
6942,8:02:29,52322202,NU0190,ND0022,72,ND0003,72
6933,8:02:30,42221202,NU0190,ND0003,72,ND0016,72
6982,8:02:35,A2221202,NU0190,ND0018,72,ND0002,72
3985,8:02:37,61121201,NU0253,ND0019,0,None,0
8235,8:02:37,41221202,NU0253,ND0016,72,ND0016,72
5184,8:02:42,51223201,NF0177,ND0009,0,None,0
8313,8:02:42,81221202,NU0253,ND0016,72,ND0018,72
7651,8:02:44,522F2102,NF0159,ND0022,72,ND0013,72
6163,8:02:46,71221201,NU0091,ND0016,0,None,0
1573,8:02:47,A1223201,NU0190,ND0027,0,None,0
5854,8:02:47,B1961021,NF0177,ND0027,0,None,0
6697,8:02:55,A1221201,NF0077,ND0012,0,None,0
5594,8:02:56,412F1101,NF0177,ND0022,0,None,0
8397,8:02:56,C2421202,NU0253,ND0016,72,ND0015,72
4208,8:02:59,I2861021,ND0020,NU0253,0,None,0
6130,8:03:01,41741201,NU0091,ND0012,0,None,0
8365,8:03:03,52362022,NU0253,ND0015,72,ND0015,72
8902,8:03:04,72321202,NF0177,ND0017,72,ND0001,72
7716,8:03:05,D29B1012,NF0159,ND0002,72,ND0024,72
1209,8:03:06,C2121201,NU0190,ND0023,0,None,0
565,8:03:07,A2221201,NU0190,ND0015,0,None,0
7009,8:03:08,81222202,NU0190,ND0017,72,ND0004,72
8346,8:03:08,41741202,NU0253,ND0003,72,ND0018,72
5901,8:03:09,82221201,NU0091,ND0001,0,None,0
9252,8:03:09,61421202,NU0091,ND0010,72,ND0022,72
5248,8:03:11,A2222201,NF0177,ND0012,0,None,0
9561,8:03:14,71321202,NF0077,ND0022,72,ND0005,72
8283,8:03:16,C1128202,NU0253,ND0015,72,ND0012,72
6057,8:03:18,52222201,NU0091,ND0009,0,None,0
7621,8:03:18,A2223202,NF0159,ND0021,72,ND0008,72
3146,8:03:19,91122201,NU0253,ND0002,0,None,0
5438,8:03:26,32741201,NF0177,ND0019,0,None,0
9274,8:03:29,91222202,NU0091,ND0005,72,ND0007,72
296,8:03:32,82221201,NU0190,ND0009,0,None,0
417,8:03:32,A1222201,NU0190,ND0012,0,None,0
6156,8:03:32,51221201,NU0091,ND0014,0,None,0
8376,8:03:32,B2321202,NU0253,ND0015,72,ND0018,72
7665,8:03:36,51221202,NF0159,ND0020,72,ND0007,72
3745,8:03:38,71421201,NU0253,ND0016,0,None,0
8362,8:03:38,82221202,NU0253,ND0007,72,ND0005,72
9577,8:03:43,41221202,NF0077,ND0011,72,ND0018,72
2935,8:03:47,A1221201,NF0159,ND0027,0,None,0
8971,8:03:47,B1223202,NF0177,ND0024,72,ND0020,72
1592,8:03:49,61221201,NU0190,ND0027,0,None,0
5762,8:03:51,C2221201,NF0177,ND0025,0,None,0
1051,8:03:53,52221201,NU0190,ND0020,0,None,0
2071,8:03:56,61228201,NF0159,ND0012,0,None,0
7125,8:03:58,81221202,NU0190,ND0003,72,ND0002,72
6840,8:04:00,82222201,NF0077,ND0027,0,None,0
8259,8:04:00,412K1202,NU0253,ND0025,72,ND0013,72
5999,8:04:02,82228201,NU0091,ND0007,0,None,0
270,8:04:04,61228201,NU0190,ND0008,0,None,0
6345,8:04:06,82123201,NU0100,ND0010,0,None,0
8944,8:04:07,92221202,NF0177,ND0004,72,ND0022,72
2898,8:04:10,51222201,NF0159,ND0026,0,None,0
7043,8:04:13,52221202,NU0190,ND0009,72,ND0015,72
9237,8:04:20,72221202,NU0091,ND0016,72,ND0014,72
4652,8:04:23,81221201,NU0253,ND0025,0,None,0
7612,8:04:23,71231202,NF0159,ND0024,72,ND0004,72
4535,8:04:25,A1121201,NU0253,ND0024,0,None,0
6365,8:04:25,41321201,NU0100,ND0011,0,None,0
9522,8:04:27,91521202,NF0179,ND0016,72,ND0008,72
9401,8:04:28,B12F1102,NU0100,ND0025,72,ND0012,72
3462,8:04:30,71221201,NU0253,ND0010,0,None,0
5592,8:04:31,61223201,NF0177,ND0022,0,None,0
8325,8:04:37,91222202,NU0253,ND0001,72,ND0004,72
4166,8:04:39,51221201,NU0253,ND0020,0,None,0
875,8:04:41,72221201,NU0190,ND0019,0,None,0
