agent_id,time,agent_type,origin_1,destination_1,waiting_time_1,destination_2,waiting_time_2
54,8:00:02,51221201,NU0190,ND0017,0,None,0
253,8:00:09,72221201,NU0190,ND0027,0,None,0
3067,8:00:11,A2323202,NF0177,ND0022,72,ND0009,72
2303,8:00:12,B1421202,NU0253,ND0012,72,ND0015,72
738,8:00:16,A1222201,NU0253,ND0025,0,None,0
1167,8:00:16,81221202,NU0190,ND0016,72,ND0010,72
1793,8:00:18,81221202,NF0159,ND0003,72,ND0010,72
3588,8:00:18,81221202,NF0077,ND0026,72,ND0013,72
3048,8:00:24,G19B1012,NF0177,ND0014,72,ND0018,72
425,8:00:25,72221201,NF0159,ND0021,0,None,0
1172,8:00:30,71221202,NU0190,ND0012,72,ND0007,72
66,8:00:34,51221201,NU0190,ND0018,0,None,0
1883,8:00:36,C15F8102,NF0159,ND0020,72,ND0026,72
1848,8:00:39,91222202,NF0159,ND0017,72,ND0007,72
1244,8:00:41,72221202,NU0190,ND0009,72,ND0016,72
1863,8:00:45,91221202,NF0159,ND0005,72,ND0012,72
2521,8:00:45,62221202,NU0253,ND0014,72,ND0021,72
1186,8:00:47,A1221202,NU0190,ND0004,72,ND0025,72
726,8:00:53,A1221201,NU0253,ND0025,0,None,0
1919,8:00:55,71221202,NF0159,ND0003,72,ND0012,72
2450,8:00:55,91221202,NU0253,ND0018,72,ND0022,72
393,8:00:56,72222201,NF0159,ND0019,0,None,0
3037,8:00:58,B1221202,NF0177,ND0014,72,ND0021,72
594,8:00:59,61221201,NU0253,ND0012,0,None,0
3077,8:01:07,51221202,NF0177,ND0010,72,ND0022,72
1304,8:01:11,51221202,NU0190,ND0011,72,ND0022,72
1220,8:01:14,51221202,NU0190,ND0013,72,ND0002,72
1263,8:01:14,D2221202,NU0190,ND0022,72,ND0001,72
682,8:01:21,412F1101,NU0253,ND0020,0,None,0
967,8:01:21,61221201,NF0177,ND0027,0,None,0
2462,8:01:22,82221202,NU0253,ND0021,72,ND0017,72
1873,8:01:30,G2421202,NF0159,ND0021,72,ND0017,72
3030,8:01:33,91221202,NF0177,ND0017,72,ND0018,72
2373,8:01:36,62221202,NU0253,ND0015,72,ND0011,72
2378,8:01:37,82121202,NU0253,ND0001,72,ND0015,72
2497,8:01:40,62221202,NU0253,ND0018,72,ND0013,72
826,8:01:41,61222201,NU0253,ND0027,0,None,0
687,8:01:49,C2962021,NU0253,ND0021,0,None,0
892,8:01:54,61221201,NF0177,ND0012,0,None,0
1815,8:01:54,52221202,NF0159,ND0016,72,ND0014,72
250,8:01:59,71221201,NU0190,ND0027,0,None,0
1885,8:01:59,71221202,NF0159,ND0027,72,ND0008,72
3043,8:02:00,C1222202,NF0177,ND0017,72,ND0010,72
1199,8:02:01,91222202,NU0190,ND0015,72,ND0025,72
1818,8:02:06,41221202,NF0159,ND0027,72,ND0005,72
51,8:02:13,B1631201,NU0190,ND0017,0,None,0
1868,8:02:19,41741202,NF0159,ND0002,72,ND0002,72
1809,8:02:20,C2421202,NF0159,ND0012,72,ND0016,72
929,8:02:27,51221201,NF0177,ND0025,0,None,0
2500,8:02:32,82221202,NU0253,ND0011,72,ND0009,72
885,8:02:53,51221201,NF0177,ND0001,0,None,0
820,8:02:59,62222201,NU0253,ND0027,0,None,0
898,8:03:03,52222201,NF0177,ND0018,0,None,0
2336,8:03:06,A1221202,NU0253,ND0013,72,ND0025,72
497,8:03:08,62371211,NF0159,ND0027,0,None,0
157,8:03:15,62221201,NU0190,ND0025,0,None,0
3023,8:03:15,51221202,NF0177,ND0026,72,ND0003,72
3310,8:03:15,62222202,NU0091,ND0024,72,ND0018,72
232,8:03:17,52321201,NU0190,ND0027,0,None,0
3026,8:03:17,A2461022,NF0177,ND0013,72,ND0026,72
1212,8:03:20,62221202,NU0190,ND0025,72,ND0020,72
2368,8:03:21,82421202,NU0253,ND0003,72,ND0002,72
1118,8:03:25,A2421202,NU0190,ND0001,72,ND0007,72
1227,8:03:25,71221202,NU0190,ND0015,72,ND0002,72
2304,8:03:26,611K1202,NU0253,ND0013,72,ND0022,72
3054,8:03:30,51221202,NF0177,ND0024,72,ND0004,72
1847,8:03:31,42421202,NF0159,ND0026,72,ND0003,72
1788,8:03:35,81221202,NF0159,ND0002,72,ND0025,72
1829,8:03:41,82221202,NF0159,ND0011,72,ND0007,72
3455,8:03:42,A2221202,NU0100,ND0001,72,ND0010,72
235,8:03:47,71221201,NU0190,ND0027,0,None,0
2301,8:03:48,51221202,NU0253,ND0007,72,ND0018,72
2399,8:03:50,92224202,NU0253,ND0027,72,ND0020,72
1128,8:03:52,A1224202,NU0190,ND0020,72,ND0026,72
889,8:04:01,71221201,NF0177,ND0011,0,None,0
2501,8:04:03,42221202,NU0253,ND0027,72,ND0016,72
2421,8:04:04,62222202,NU0253,ND0026,72,ND0022,72
1200,8:04:07,71221202,NU0190,ND0027,72,ND0017,72
1776,8:04:14,51221202,NF0159,ND0017,72,ND0007,72
1932,8:04:14,A1221202,NF0159,ND0021,72,ND0015,72
1266,8:04:21,72221202,NU0190,ND0014,72,ND0004,72
1014,8:04:28,71222201,NU0100,ND0011,0,None,0
834,8:04:43,81221201,NU0253,ND0027,0,None,0
553,8:04:44,41741201,NU0253,ND0001,0,None,0
3068,8:04:44,71221202,NF0177,ND0022,72,ND0014,72
3584,8:04:45,A1323202,NF0077,ND0003,72,ND0027,72
2424,8:04:46,A2221202,NU0253,ND0027,72,ND0026,72
1935,8:04:51,72221202,NF0159,ND0026,72,ND0005,72
3008,8:04:53,D13F1102,NF0177,ND0007,72,ND0010,72
378,8:04:54,C29B1011,NF0159,ND0018,0,None,0
3070,8:04:57,41222202,NF0177,ND0004,72,ND0014,72
2323,8:05:00,52222202,NU0253,ND0010,72,ND0012,72
2404,8:05:00,B2421202,NU0253,ND0020,72,ND0011,72
2523,8:05:02,72221202,NU0253,ND0012,72,ND0015,72
1143,8:05:11,F2961022,NU0190,ND0018,72,ND0010,72
2346,8:05:12,C13F1102,NU0253,ND0003,72,ND0007,72
3564,8:05:12,612B1012,NF0077,ND0022,72,ND0007,72
2995,8:05:22,71741202,NF0177,ND0004,72,ND0002,72
2418,8:05:25,61221202,NU0253,ND0020,72,ND0027,72
3295,8:05:28,D2961022,NU0091,ND0012,72,ND0016,72
361,8:05:38,92224201,NF0159,ND0014,0,None,0
53,8:05:40,712F1101,NU0190,ND0017,0,None,0
1856,8:05:41,B2231202,NF0159,ND0010,72,ND0010,72
3308,8:05:41,72221202,NU0091,ND0027,72,ND0018,72
2331,8:05:44,B2221202,NU0253,ND0001,72,ND0003,72
2337,8:05:46,61221202,NU0253,ND0026,72,ND0016,72
1114,8:05:56,81221202,NU0190,ND0007,72,ND0025,72
1127,8:05:59,52321202,NU0190,ND0017,72,ND0014,72
1273,8:05:59,62228202,NU0190,ND0011,72,ND0002,72
1909,8:05:59,51221202,NF0159,ND0010,72,ND0003,72
3021,8:06:01,51121202,NF0177,ND0016,72,ND0012,72
2472,8:06:04,622B1012,NU0253,ND0020,72,ND0009,72
1136,8:06:06,81221202,NU0190,ND0017,72,ND0011,72
2388,8:06:06,82222202,NU0253,ND0015,72,ND0012,72
1854,8:06:07,A2422202,NF0159,ND0016,72,ND0027,72
2309,8:06:09,51221202,NU0253,ND0027,72,ND0026,72
1249,8:06:12,B2421202,NU0190,ND0021,72,ND0016,72
2302,8:06:12,82321202,NU0253,ND0002,72,ND0011,72
2414,8:06:14,91222202,NU0253,ND0016,72,ND0013,72
918,8:06:25,622F8101,NF0177,ND0021,0,None,0
1258,8:06:30,72221202,NU0190,ND0021,72,ND0022,72
1313,8:06:35,D1221202,NU0190,ND0013,72,ND0017,72
1867,8:06:35,71231202,NF0159,ND0015,72,ND0024,72
1881,8:06:35,91221202,NF0159,ND0027,72,ND0021,72
2429,8:06:37,91221202,NU0253,ND0015,72,ND0016,72
3428,8:06:38,B2221202,NU0100,ND0013,72,ND0020,72
2410,8:06:41,72224202,NU0253,ND0013,72,ND0025,72
1197,8:06:55,81228202,NU0190,ND0012,72,ND0022,72
2419,8:06:57,D2422202,NU0253,ND0005,72,ND0016,72
1226,8:06:59,C1321202,NU0190,ND0014,72,ND0020,72
1801,8:07:01,52221202,NF0159,ND0008,72,ND0008,72
1119,8:07:02,52222202,NU0190,ND0018,72,ND0013,72
3430,8:07:07,91221202,NU0100,ND0009,72,ND0004,72
3449,8:07:12,51261022,NU0100,ND0011,72,ND0024,72
2441,8:07:19,91222202,NU0253,ND0026,72,ND0013,72
1897,8:07:25,71222202,NF0159,ND0027,72,ND0024,72
2390,8:07:29,81122202,NU0253,ND0018,72,ND0015,72
1825,8:07:30,51221202,NF0159,ND0002,72,ND0014,72
1834,8:07:31,F16B1012,NF0159,ND0025,72,ND0014,72
3049,8:07:34,71221202,NF0177,ND0020,72,ND0005,72
2483,8:07:37,51221202,NU0253,ND0003,72,ND0008,72
495,8:07:43,52321201,NF0159,ND0027,0,None,0
