link_id,from_node_id,to_node_id,visible_area,floor,z,flag,path
LFS0001O,NS0074,NF0310,1,1.5,-3,0,0
LFS0001P,NF0310,NS0074,1,1.5,-3,0,0
LFS0002O,NS0078,NF0310,1,1.5,-3,0,0
LFS0002P,NF0310,NS0078,1,1.5,-3,0,0
LFS0003O,NS0066,NF0298,1,1.5,-1.02,0,0
LFS0003P,NF0298,NS0066,1,1.5,-1.02,0,0
LFS0004O,NS0061,NF0302,1,1.5,-3.02,0,0
LFS0004P,NF0302,NS0061,1,1.5,-3.02,0,0
LFS0005O,NS0071,NF0316,1,1.5,-4.02,0,0
LFS0005P,NF0316,NS0071,1,1.5,-4.02,0,0
LFS0006O,NS0073,NF0307,1,1.5,1.98,0,0
LFS0006P,NF0307,NS0073,1,1.5,1.98,0,0
LFS0007O,NS0028,NF0519,1,1.5,1.98,0,0
LFS0007P,NF0519,NS0028,1,1.5,1.98,0,0
LFS0008O,NS0072,NF0316,1,1.5,1.98,0,0
LFS0008P,NF0316,NS0072,1,1.5,1.98,0,0
LFS0009O,NS0040,NF0285,1,1.5,3.455,0,0
LFS0009P,NF0285,NS0040,1,1.5,3.455,0,0
LFS0010O,NS0056,NF0391,1,1.5,-53.645,0,0
LFS0010P,NF0391,NS0056,1,1.5,-53.645,0,0
LFS0011O,NS0041,NF0410,1,1.5,-1.743067533,0,0
LFS0011P,NF0410,NS0041,1,1.5,-1.743067533,0,0
LFS0012O,NS0033,NF0417,1,1.5,0,0,0
LFS0012P,NF0417,NS0033,1,1.5,0,0,0
LNU0001O,NU0078,NU0045,1.006018036,0,-51.54,0,0
LNU0001P,NU0045,NU0078,1.028395684,0,-51.54,0,0
LNU0002O,NU0045,NU0044,1.008032086,0,-51.54,0,0
LNU0002P,NU0044,NU0045,1.019181649,0,-51.54,0,0
LNU0003O,NU0046,NU0010,1.044982355,0,-250,0,0
LNU0003P,NU0010,NU0046,1.055484602,0,-250,0,0
LNU0004O,NU0046,NU0043,1.047074411,0,-250,0,0
LNU0004P,NU0043,NU0046,1.180573102,0,-250,0,0
LNU0005O,NU0046,NU0043,1.047074411,0,-250,0,0
LNU0005P,NU0043,NU0046,1.180573102,0,-250,0,0
LNU0006O,NU0043,NU0014,1.25860001,0,-159,0,0
LNU0006P,NU0014,NU0043,1.003004505,0,-159,0,0
LNU0007O,NU0045,NU0044,1.008032086,0,-51.54,0,0
LNU0007P,NU0044,NU0045,1.019181649,0,-51.54,0,0
LNU0008O,NU0080,NU0044,1.008032086,0,-51.54,0,0
LNU0008P,NU0044,NU0080,1.027367803,0,-51.54,0,0
LNU0009O,NU0080,NU0044,1.008032086,0,-51.54,0,0
LNU0009P,NU0044,NU0080,1.027367803,0,-51.54,0,0
LNU0010O,NU0080,NU0078,1.027367803,0,-51.54,0,0
LNU0010P,NU0078,NU0080,1.004008011,0,-51.54,0,0
LNU0011O,NU0083,NU0081,1.014098459,0,-204,0,0
LNU0011P,NU0081,NU0083,1.033550539,0,-204,0,0
LNU0012O,NU0087,NU0081,1.122995872,0,-204,0,0
LNU0012P,NU0081,NU0087,1.051271096,0,-204,0,0
LNU0013O,NU0078,NU0045,1.006018036,0,-51.54,0,0
LNU0013P,NU0045,NU0078,1.028395684,0,-51.54,0,0
LNU0014O,NU0080,NU0078,1.027367803,0,-51.54,0,0
LNU0014P,NU0078,NU0080,1.004008011,0,-51.54,0,0
LNU0015O,NU0079,NU0007,1.1491241,0,-83.3,0,0
LNU0015P,NU0007,NU0079,1.003004505,0,-83.3,0,0
LNU0016O,NU0127,NU0079,1.098559746,0,-83.3,0,0
LNU0016P,NU0079,NU0127,1.025315121,0,-83.3,0,0
LNU0017O,NU0086,NU0084,1.192438059,0,-250,0,0
LNU0017P,NU0084,NU0086,1.135417018,0,-250,0,0
LNU0018O,NU0089,NU0084,1.171166195,0,-244,0,0
LNU0018P,NU0084,NU0089,1.072508181,0,-244,0,0
LNU0019O,NU0088,NU0084,1.211670517,0,-250,0,0
LNU0019P,NU0084,NU0088,1.107383472,0,-250,0,0
LNU0020O,NU0088,NU0084,1.211670517,0,-244,0,0
LNU0020P,NU0084,NU0088,1.107383472,0,-244,0,0
LNU0021O,NU0085,NU0026,1.17703669,0,-202.5,0,0
LNU0021P,NU0026,NU0085,1.034584607,0,-202.5,0,0
LNU0022O,NU0085,NU0083,1.159512896,0,-204,0,0
LNU0022P,NU0083,NU0085,1.040810774,0,-204,0,0
LNU0023O,NU0087,NU0082,1.048122009,0,-204,0,0
LNU0023P,NU0082,NU0087,1.164160236,0,-204,0,0
LNU0024O,NU0082,NU0070,1.154884109,0,-204,0,0
LNU0024P,NU0070,NU0082,1.091988122,0,-204,0,0
LNU0025O,NU0085,NU0083,1.159512896,0,-204,0,0
LNU0025P,NU0083,NU0085,1.040810774,0,-204,0,0
LNU0026O,NU0083,NU0081,1.014098459,0,-204,0,0
LNU0026P,NU0081,NU0083,1.033550539,0,-204,0,0
LNU0027O,NU0088,NU0084,1.211670517,0,-250,0,0
LNU0027P,NU0084,NU0088,1.107383472,0,-250,0,0
LNU0028O,NU0088,NU0084,1.211670517,0,-244,0,0
LNU0028P,NU0084,NU0088,1.107383472,0,-244,0,0
LNU0029O,NU0086,NU0084,1.192438059,0,-250,0,0
LNU0029P,NU0084,NU0086,1.135417018,0,-250,0,0
LNU0030O,NU0089,NU0084,1.171166195,0,-244,0,0
LNU0030P,NU0084,NU0089,1.072508181,0,-244,0,0
LNU0031O,NU0088,NU0084,1.211670517,0,-250,0,0
LNU0031P,NU0084,NU0088,1.107383472,0,-250,0,0
LNU0032O,NU0088,NU0084,1.211670517,0,-244,0,0
LNU0032P,NU0084,NU0088,1.107383472,0,-244,0,0
LNU0033O,NU0090,NU0086,1.027367803,0,-250,0,0
LNU0033P,NU0086,NU0090,1.272521035,0,-250,0,0
LNU0034O,NU0086,NU0084,1.192438059,0,-250,0,0
LNU0034P,NU0084,NU0086,1.135417018,0,-250,0,0
LNU0035O,NU0087,NU0082,1.048122009,0,-204,0,0
LNU0035P,NU0082,NU0087,1.164160236,0,-204,0,0
LNU0036O,NU0087,NU0081,1.122995872,0,-204,0,0
LNU0036P,NU0081,NU0087,1.051271096,0,-204,0,0
LNU0037O,NU0105,NU0092,1.349858808,0,-159,1,0
LNU0037P,NU0092,NU0105,1.074655344,0,-159,1,0
LNU0038O,NU0092,NU0030,1.317847864,0,-159,0,0
LNU0038P,NU0030,NU0092,1.003004505,0,-159,0,0
LNU0039O,NU0093,NU0019,1.153729802,0,-139.7201589,0,0
LNU0039P,NU0019,NU0093,1.119631933,0,-139.7201589,0,0
LNU0040O,NU0093,NU0029,1.119631933,0,-139.7957776,0,0
LNU0040P,NU0029,NU0093,1.153729802,0,-139.7957776,0,0
LNU0041O,NU0090,NU0086,1.027367803,0,-250,0,0
LNU0041P,NU0086,NU0090,1.272521035,0,-250,0,0
LNU0042O,NU0090,NU0030,1.241102379,0,-159,0,0
LNU0042P,NU0030,NU0090,1.014098459,0,-159,0,0
LNU0043O,NU0111,NU0080,1.007024557,0,-81.54,0,0
LNU0043P,NU0080,NU0111,1.027367803,0,-81.54,0,0
LNU0044O,NU0044,NU0013,1.008032086,0,-135.04,0,0
LNU0044P,NU0013,NU0044,1.027367803,0,-135.04,0,0
LNU0045O,NU0121,NU0064,1.142249998,0,-82.72,0,0
LNU0045P,NU0064,NU0121,1.019181649,0,-82.72,0,0
LNU0046O,NU0064,NU0063,1.117394907,0,-82.72,0,0
LNU0046P,NU0063,NU0064,1.048122009,0,-82.72,0,0
LNU0047O,NU0083,NU0028,1.006018036,0,-135.04,0,0
LNU0047P,NU0028,NU0083,1.038731233,0,-135.04,0,0
LNU0048O,NU0119,NU0026,1.191246217,0,-202.5,0,0
LNU0048P,NU0026,NU0119,1.029424594,0,-202.5,0,0
LNU0049O,NU0125,NU0018,1.165324979,0,-145.5,0,0
LNU0049P,NU0018,NU0125,1.038731233,0,-145.5,0,0
LNU0050O,NU0136,NU0001,1.180573102,0,-88.8125,0,0
LNU0050P,NU0001,NU0136,1.031485504,0,-88.8125,0,0
LNU0051O,NU0064,NU0063,1.117394907,0,-82.72,0,0
LNU0051P,NU0063,NU0064,1.048122009,0,-82.72,0,0
LNU0052O,NU0072,NU0063,1.068226717,0,-82.72,0,0
LNU0052P,NU0063,NU0072,1.102962785,0,-82.72,0,0
LNU0053O,NU0074,NU0064,1.036655846,0,-150.1,0,0
LNU0053P,NU0064,NU0074,1.160672989,0,-150.1,0,0
LNU0054O,NU0114,NU0074,1.041852106,0,-150.1,0,0
LNU0054P,NU0074,NU0114,1.15603957,0,-150.1,0,0
LNU0055O,NU0124,NU0069,1.197217363,0,-147,0,0
LNU0055P,NU0069,NU0124,1.061836547,0,-147,0,0
LNU0056O,NU0119,NU0069,1.072508181,0,-147,0,0
LNU0056P,NU0069,NU0119,1.167657961,0,-147,0,0
LNU0057O,NU0122,NU0116,1.066092399,0,-150.1,0,0
LNU0057P,NU0116,NU0122,1.167657961,0,-150.1,0,0
LNU0058O,NU0123,NU0110,1.025315121,0,-159,0,0
LNU0058P,NU0110,NU0123,1.366154693,0,-159,0,0
LNU0059O,NU0129,NU0099,1.017145322,0,-94.22,0,0
LNU0059P,NU0099,NU0129,1.356625003,0,-94.22,0,0
LNU0060O,NU0079,NU0030,1.004008011,0,-159,0,0
LNU0060P,NU0030,NU0079,1.202015823,0,-159,0,0
LNU0061O,NU0121,NU0072,1.118512861,0,-82.72,0,0
LNU0061P,NU0072,NU0121,1.037693021,0,-82.72,0,0
LNU0062O,NU0072,NU0063,1.068226717,0,-82.72,0,0
LNU0062P,NU0063,NU0072,1.102962785,0,-82.72,0,0
LNU0063O,NU0128,ND0011,1.071436209,0,-112.5,0,0
LNU0063P,ND0011,NU0128,1,0,-112.5,0,0
LNU0064O,NU0017,NU0016,1,0,-111,0,0
LNU0064P,NU0016,NU0017,1.0010005,0,-111,0,0
LNU0065O,NU0022,NU0006,1,0,-111,0,0
LNU0065P,NU0006,NU0022,1,0,-111,0,0
LNU0066O,NU0076,NU0070,1.11071061,0,-202.5,0,0
LNU0066P,NU0070,NU0076,1.083287068,0,-202.5,0,0
LNU0067O,NU0082,NU0070,1.154884109,0,-204,0,0
LNU0067P,NU0070,NU0082,1.091988122,0,-204,0,0
LNU0068O,NU0025,NU0022,1,0,-111,0,0
LNU0068P,NU0022,NU0025,1,0,-111,0,0
LNU0069O,NU0021,NU0017,1,0,-111,0,0
LNU0069P,NU0017,NU0021,1,0,-111,0,0
LNU0070O,NU0076,NU0070,1.11071061,0,-202.5,0,0
LNU0070P,NU0070,NU0076,1.083287068,0,-202.5,0,0
LNU0071O,NU0076,NU0074,1.066092399,0,-150.1,0,0
LNU0071P,NU0074,NU0076,1.162996658,0,-150.1,0,0
LNU0072O,NU0062,NU0021,1,0,-111,0,0
LNU0072P,NU0021,NU0062,1,0,-111,0,0
LNU0073O,NU0068,NU0062,1,0,-111,0,0
LNU0073P,NU0062,NU0068,1,0,-111,0,0
LNU0074O,NU0076,NU0074,1.066092399,0,-150.1,0,0
LNU0074P,NU0074,NU0076,1.162996658,0,-150.1,0,0
LNU0075O,NU0122,NU0074,1.061836547,0,-150.1,0,0
LNU0075P,NU0074,NU0122,1.159512896,0,-150.1,0,0
LNU0076O,NU0071,NU0068,1,0,-111,0,0
LNU0076P,NU0068,NU0071,1,0,-111,0,0
LNU0077O,NU0075,NU0071,1,0,-111,0,0
LNU0077P,NU0071,NU0075,1,0,-111,0,0
LNU0078O,NU0091,NU0075,1,0,-111,0,0
LNU0078P,NU0075,NU0091,1,0,-111,0,0
LNU0079O,NU0065,NU0025,1,0,-111,0,0
LNU0079P,NU0025,NU0065,1,0,-111,0,0
LNU0080O,NU0114,NU0113,1.071436209,0,-150.1,0,0
LNU0080P,NU0113,NU0114,1.024290318,0,-150.1,0,0
LNU0081O,NU0117,NU0113,1,0,-150.1,0,0
LNU0081P,NU0113,NU0117,1.096364822,0,-150.1,0,0
LNU0082O,NU0110,NU0024,1.348509623,0,-251.5,1,0
LNU0082P,NU0024,NU0110,1.117394907,0,-251.5,1,0
LNU0083O,NU0110,NU0014,1.366154693,0,-159,0,0
LNU0083P,NU0014,NU0110,1.002002001,0,-159,0,0
LNU0084O,NU0115,NU0111,1.005012521,0,-81.54,0,0
LNU0084P,NU0111,NU0115,1.026340948,0,-81.54,0,0
LNU0085O,NU0118,NU0111,1.003004505,0,-81.54,0,0
LNU0085P,NU0111,NU0118,1.029424594,0,-81.54,0,0
LNU0086O,NU0116,NU0114,1.056540615,0,-150.1,0,0
LNU0086P,NU0114,NU0116,1.160672989,0,-150.1,0,0
