link_id,from_node_id,to_node_id,visible_area,floor,z,flag,path
LIF0001O,NI0301,NF0262,1,1,-125.49,1,0
LIF0001P,NF0262,NI0301,1,1,-125.49,1,0
LIF0002O,NI0301,ND0003,1,1,0,1,0
LIF0002P,ND0003,NI0301,1,1,0,1,0
LIF0003O,NI0302,NI0301,1,1,-3,1,0
LIF0003P,NI0301,NI0302,1,1,-3,1,0
LIF0004O,NI0302,NI0303,1,1,1.98,1,0
LIF0004P,NI0303,NI0302,1,1,1.98,1,0
LIF0005O,NI0303,NF0249,1,1,0,1,0
LIF0005P,NF0249,NI0303,1,1,0,1,0
LIF0006O,NI0303,NF0294,1,1,-56.63593698,1,0
LIF0006P,NF0294,NI0303,1,1,-56.63593698,1,0
LIF0007O,NI0501,NF0330,1,1,-3.01,1,0
LIF0007P,NF0330,NI0501,1,1,-3.01,1,0
LIF0008O,NI0501,ND0005,1,1,0,1,0
LIF0008P,ND0005,NI0501,1,1,0,1,0
LIF0009O,NI0701,NF0357,1,1,-50.72,1,0
LIF0009P,NF0357,NI0701,1,1,-50.72,1,0
LIF0010O,NI0701,NF0362,1,1,-56.02,1,0
LIF0010P,NF0362,NI0701,1,1,-56.02,1,0
LIF0011O,NI0901,NF0363,1,1,0,1,0
LIF0011P,NF0363,NI0901,1,1,0,1,0
LIF0012O,NI0901,NF0379,1,1,-50.72,1,0
LIF0012P,NF0379,NI0901,1,1,-50.72,1,0
LIF0013O,NI0901,ND0009,1,1,-56.02,1,0
LIF0013P,ND0009,NI0901,1,1,-56.02,1,0
LIF0014O,NI1001,NF0285,1,1,0,1,0
LIF0014P,NF0285,NI1001,1,1,0,1,0
LIF0015O,NI1001,NF0282,1,1,0,1,0
LIF0015P,NF0282,NI1001,1,1,0,1,0
LIF0016O,NI1002,ND0010,1,1,-3,1,0
LIF0016P,ND0010,NI1002,1,1,-3,1,0
LIF0017O,NI1001,NI1002,1,1,-3,1,0
LIF0017P,NI1002,NI1001,1,1,-3,1,0
LIF0018O,NI1101,NF0391,1,1,0,1,0
LIF0018P,NF0391,NI1101,1,1,0,1,0
LIF0019O,NI1101,NF0417,1,1,-3,1,0
LIF0019P,NF0417,NI1101,1,1,-3,1,0
LIF0020O,NI1101,ND0011,1,1,-3,1,0
LIF0020P,ND0011,NI1101,1,1,-3,1,0
LIF0021O,NI1102,NF0360,1,1,0,1,0
LIF0021P,NF0360,NI1102,1,1,0,1,0
LIF0022O,NI1102,ND0011,1,1,-1.101632653,1,0
LIF0022P,ND0011,NI1102,1,1,-1.101632653,1,0
LIF0023O,NI1201,NF0410,1,1,-10.02,1,0
LIF0023P,NF0410,NI1201,1,1,-10.02,1,0
LIF0024O,NI1201,NF0376,1,1,0,1,0
LIF0024P,NF0376,NI1201,1,1,0,1,0
LIF0025O,NI1202,NF0410,1,1,-1.101632653,1,0
LIF0025P,NF0410,NI1202,1,1,-1.101632653,1,0
LIF0026O,NI1202,NF0376,1,1,-10.02,1,0
LIF0026P,NF0376,NI1202,1,1,-10.02,1,0
LIF0027O,NI1202,ND0012,1,1,0,1,0
LIF0027P,ND0012,NI1202,1,1,0,1,0
LIF0028O,NI1201,NI1202,1,1,0,1,0
LIF0028P,NI1202,NI1201,1,1,0,1,0
LIF0029O,NI1301,NF0323,1,1,-12.47,1,0
LIF0029P,NF0323,NI1301,1,1,-12.47,1,0
LIF0030O,NI1301,ND0013,1,1,0,1,0
LIF0030P,ND0013,NI1301,1,1,0,1,0
LIF0031O,NI1401,ND0014,1,1,0,1,0
LIF0031P,ND0014,NI1401,1,1,0,1,0
LIF0032O,NI1402,NF0320,1,1,-61.72,1,0
LIF0032P,NF0320,NI1402,1,1,-61.72,1,0
LIF0033O,NI1402,ND0014,1,1,0,1,0
LIF0033P,ND0014,NI1402,1,1,0,1,0
LIF0034O,NI1501,NF0295,1,1,0,1,0
LIF0034P,NF0295,NI1501,1,1,0,1,0
LIF0035O,NI1501,NF0319,1,1,-73.02,1,0
LIF0035P,NF0319,NI1501,1,1,-73.02,1,0
LIF0036O,NI1501,ND0015,1,1,-1,1,0
LIF0036P,ND0015,NI1501,1,1,-1,1,0
LIF0037O,NI1701,ND0014,1,1,0,1,0
LIF0037P,ND0014,NI1701,1,1,0,1,0
