node_id,x,y,z,attractor,signage,attractor_node_id,attractor_to_id,self_attractor,lower_staytime,upper_staytime,from_time,to_time
ND0001,216.42689,1192.49716,0,1,0,,,0,0,0,0,23
ND0002,182.38169,984.60656,0,1,0,,,0,0,0,0,23
ND0003,271.76618,733.75303,0,1,0,,,0,0,0,0,23
ND0004,343.72045,443.78342,0,1,0,,,0,0,0,0,23
ND0005,397.8862,235.65843,0,1,0,,,0,0,0,0,23
ND0006,389.15559,1166.63802,0,1,0,,,0,0,0,0,23
ND0007,431.52699,1004.32586,0,1,0,,,0,0,0,0,23
ND0008,502.10996,1131.32364,0,1,0,,,0,0,0,0,23
ND0009,644.91261,1075.91985,0,1,0,,,0,0,0,0,23
ND0010,440.9314,852.27363,0,1,0,,,0,0,0,0,23
ND0011,562.35842,876.14011,0,1,0,,,0,0,0,0,23
ND0012,682.63231,899.36872,0,1,0,,,0,0,0,0,23
ND0013,479.0668,660.37858,0,1,0,,,0,0,0,0,23
ND0014,598.51718,691.30219,0,1,0,,,0,0,0,0,23
ND0015,718.84151,714.93164,0,1,0,,,0,0,0,0,23
ND0016,513.83606,484.60477,0,1,0,,,0,0,0,0,23
ND0017,634.01516,509.78947,0,1,0,,,0,0,0,0,23
ND0018,590.44686,326.64788,0,1,0,,,0,0,0,0,23
ND0019,762.93472,508.19309,0,1,0,,,0,0,0,0,23
ND0020,849.97731,1033.56751,0,1,0,,,0,0,0,0,23
ND0021,822.81051,906.23492,0,1,0,,,0,0,0,0,23
ND0022,992.90469,973.37119,0,1,0,,,0,0,0,0,23
ND0023,989.97705,890.78528,0,1,0,,,0,0,0,0,23
ND0024,844.80297,733.61764,0,1,0,,,0,0,0,0,23
ND0025,999.86539,737.86666,0,1,0,,,0,0,0,0,23
ND0026,870.88244,545.69316,0,1,0,,,0,0,0,0,23
ND0027,1010.09592,580.98442,0,1,0,,,0,0,0,0,23
NU0001,498.64168,814.39144,-11250,1,0,,,0,0,0,0,23
NU0002,571.20826,739.08468,-9422,1,0,,,0,0,0,0,23
NU0003,468.60459,942.34238,0,1,0,,,0,0,0,0,23
NU0004,562.38112,741.29757,-9422,1,0,,,0,0,0,0,23
NU0005,563.15037,746.34765,-9422,1,0,,,0,0,0,0,23
NU0006,493.47585,936.85166,-11250,1,0,,,0,0,0,0,23
