node_id,x,y,z,attractor,signage,attractor_node_id,attractor_to_id,self_attractor,lower_staytime,upper_staytime,from_time,to_time
NI0001,1095.6583,795.80108,0,263,0,,,1,600,1800,10,17
NI0002,1212.62738,663.92032,0,100,0,,,1,600,1800,10,17
NI0003,1142.04758,843.60867,0,190,0,,,1,600,1800,10,17
NI0301,327.46767,734.84122,0,7617,0,NI0302,NI0303,1,600,1800,10,17
NI0302,337.77887,833.30755,0,100,0,,,1,600,1800,10,17
NI0303,314.85919,896.86476,0,100,0,NI0302,NI0301,1,600,1800,10,17
NI0501,400.69866,303.92059,0,2539,0,,,1,600,1800,10,17
NI0701,395.94145,1000.99104,0,100,0,,,1,600,1800,10,17
NI0901,663.52265,1034.18763,0,5283,0,,,1,600,1800,10,17
NI1001,459.33581,774.09548,0,1179,0,NI1002,ND0010,1,600,1800,10,17
NI1002,459.16485,793.04312,0,2011,0,NI1001,NF0285,1,600,1800,10,17
NI1101,573.61235,796.90383,0,1056,0,,,1,600,1800,10,17
NI1102,554.67629,914.70465,0,3609,0,,,1,600,1800,10,17
NI1201,699.84794,826.30734,0,1321,0,NI1202,NF0376,1,600,1800,10,17
NI1202,694.68499,859.30112,0,4776,0,NI1201,NF0410,1,600,1800,10,17
NI1301,464.59718,746.14947,0,1130,0,,,1,600,1800,10,17
NI1401,579.25126,768.35997,0,1156,0,NI1402,ND0014,1,600,1800,10,17
NI1402,576.71304,679.71689,0,4655,0,,,1,600,1800,10,17
NI1501,706.49399,786.35775,0,1324,0,,,1,600,1800,10,17
NI1701,619.37228,574.98512,0,2057,0,,,1,600,1800,10,17
NI2001,794.30553,1012.49622,0,2297,0,,,1,600,1800,10,17
NI2002,879.88825,975.4639,0,1529,0,,,1,600,1800,10,17
NI2101,835.9282,856.71433,0,859,0,NI2102,ND0021,1,600,1800,10,17
NI2102,843.36865,867.49529,0,3308,0,,,1,600,1800,10,17
NI2103,818.99901,944.61102,0,1879,0,,,1,600,1800,10,17
NI2301,986.50202,859.18431,0,824,0,,,1,600,1800,10,17
NI2401,834.38049,804.96061,0,578,0,NI2402,NF0377,1,600,1800,10,17
NI2402,864.81417,790.65738,0,1940,0,NI2401,NF0384,1,600,1800,10,17
NI2501,954.42043,827.29496,0,296,0,,,1,600,1800,10,17
NI2502,1024.19619,831.54655,0,314,0,,,1,600,1800,10,17
